Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Total_Sales,Total_Orders,Credit_Score,Is_Active,Effective_Date,End_Date,Record_Version,Updated_At
AA-10315,Alex Avila,Consumer,United States,San Francisco,California,94105,West,6014.31,13,717,True,2026-01-01,9999-12-31,2,2026-08-02T10:00:00
AA-10375,Allen Armold,Consumer,United States,San Francisco,California,94105,West,1507.14,17,794,True,2026-01-01,9999-12-31,2,2026-08-02T10:00:00
AA-10480,Andrew Allen,Consumer,United States,San Francisco,California,94105,West,2241.26,14,707,True,2026-01-01,9999-12-31,2,2026-08-02T10:00:00
AA-10645,Anna Andreadi,Consumer,United States,San Francisco,California,94105,West,5537.68,20,629,True,2026-01-01,9999-12-31,2,2026-08-02T10:00:00
AB-10015,Aaron Bergman,Consumer,United States,San Francisco,California,94105,West,1336.91,8,721,True,2026-01-01,9999-12-31,2,2026-08-02T10:00:00
AB-10060,Adam Bellavance,Home Office,United States,San Francisco,California,94105,West,8206.37,20,686,True,2026-01-01,9999-12-31,2,2026-08-02T10:00:00
AB-10105,Adrian Barton,Consumer,United States,San Francisco,California,94105,West,14924.32,22,803,True,2026-01-01,9999-12-31,2,2026-08-02T10:00:00
AB-10150,Aimee Bixby,Consumer,United States,San Francisco,California,94105,West,1417.46,14,635,True,2026-01-01,9999-12-31,2,2026-08-02T10:00:00
AB-10165,Alan Barnes,Consumer,United States,San Francisco,California,94105,West,1564.59,16,717,True,2026-01-01,9999-12-31,2,2026-08-02T10:00:00
AB-10255,Alejandro Ballentine,Home Office,United States,San Francisco,California,94105,West,1365.28,16,736,True,2026-01-01,9999-12-31,2,2026-08-02T10:00:00
AB-10600,Ann Blume,Corporate,United States,San Francisco,California,94105,West,1966.61,10,825,True,2026-01-01,9999-12-31,2,2026-08-02T10:00:00
AC-10420,Alyssa Crouse,Corporate,United States,San Francisco,California,94105,West,1376.55,7,829,True,2026-01-01,9999-12-31,2,2026-08-02T10:00:00
AC-10450,Amy Cox,Consumer,United States,San Francisco,California,94105,West,5978.6,11,689,True,2026-01-01,9999-12-31,2,2026-08-02T10:00:00
AC-10615,Ann Chong,Corporate,United States,San Francisco,California,94105,West,2988.44,20,817,True,2026-01-01,9999-12-31,2,2026-08-02T10:00:00
AC-10660,Anna Chung,Consumer,United States,San Francisco,California,94105,West,1108.07,8,702,True,2026-01-01,9999-12-31,2,2026-08-02T10:00:00
AD-10180,Alan Dominguez,Home Office,United States,San Francisco,California,94105,West,6557.63,14,731,True,2026-01-01,9999-12-31,2,2026-08-02T10:00:00
AF-10870,Art Ferguson,Consumer,United States,San Francisco,California,94105,West,2503.66,18,714,True,2026-01-01,9999-12-31,2,2026-08-02T10:00:00
